province,year,category,batch,control_score,score,score_range,segment_count,cumulative_count,rank_range
浙江,2025,综合,普通类一段,490,693.0,693-750,343,343,1-343
浙江,2025,综合,普通类一段,490,692.0,692,52,395,344-395
浙江,2025,综合,普通类一段,490,691.0,691,51,446,396-446
浙江,2025,综合,普通类一段,490,690.0,690,67,513,447-513
浙江,2025,综合,普通类一段,490,689.0,689,80,593,514-593
浙江,2025,综合,普通类一段,490,688.0,688,74,667,594-667
浙江,2025,综合,普通类一段,490,687.0,687,80,747,668-747
浙江,2025,综合,普通类一段,490,686.0,686,110,857,748-857
浙江,2025,综合,普通类一段,490,685.0,685,100,957,858-957
浙江,2025,综合,普通类一段,490,684.0,684,136,1093,958-1093
浙江,2025,综合,普通类一段,490,683.0,683,135,1228,1094-1228
浙江,2025,综合,普通类一段,490,682.0,682,118,1346,1229-1346
浙江,2025,综合,普通类一段,490,681.0,681,126,1472,1347-1472
浙江,2025,综合,普通类一段,490,680.0,680,145,1617,1473-1617
浙江,2025,综合,普通类一段,490,679.0,679,145,1762,1618-1762
浙江,2025,综合,普通类一段,490,678.0,678,172,1934,1763-1934
浙江,2025,综合,普通类一段,490,677.0,677,183,2117,1935-2117
浙江,2025,综合,普通类一段,490,676.0,676,197,2314,2118-2314
浙江,2025,综合,普通类一段,490,675.0,675,227,2541,2315-2541
浙江,2025,综合,普通类一段,490,674.0,674,200,2741,2542-2741
浙江,2025,综合,普通类一段,490,673.0,673,228,2969,2742-2969
浙江,2025,综合,普通类一段,490,672.0,672,215,3184,2970-3184
浙江,2025,综合,普通类一段,490,671.0,671,253,3437,3185-3437
浙江,2025,综合,普通类一段,490,670.0,670,281,3718,3438-3718
浙江,2025,综合,普通类一段,490,669.0,669,297,4015,3719-4015
浙江,2025,综合,普通类一段,490,668.0,668,287,4302,4016-4302
浙江,2025,综合,普通类一段,490,667.0,667,302,4604,4303-4604
浙江,2025,综合,普通类一段,490,666.0,666,306,4910,4605-4910
浙江,2025,综合,普通类一段,490,665.0,665,284,5194,4911-5194
浙江,2025,综合,普通类一段,490,664.0,664,307,5501,5195-5501
浙江,2025,综合,普通类一段,490,663.0,663,362,5863,5502-5863
浙江,2025,综合,普通类一段,490,662.0,662,363,6226,5864-6226
浙江,2025,综合,普通类一段,490,661.0,661,386,6612,6227-6612
浙江,2025,综合,普通类一段,490,660.0,660,383,6995,6613-6995
浙江,2025,综合,普通类一段,490,659.0,659,335,7330,6996-7330
浙江,2025,综合,普通类一段,490,658.0,658,431,7761,7331-7761
浙江,2025,综合,普通类一段,490,657.0,657,402,8163,7762-8163
浙江,2025,综合,普通类一段,490,656.0,656,421,8584,8164-8584
浙江,2025,综合,普通类一段,490,655.0,655,453,9037,8585-9037
浙江,2025,综合,普通类一段,490,654.0,654,451,9488,9038-9488
浙江,2025,综合,普通类一段,490,653.0,653,436,9924,9489-9924
浙江,2025,综合,普通类一段,490,652.0,652,441,10365,9925-10365
浙江,2025,综合,普通类一段,490,651.0,651,445,10810,10366-10810
浙江,2025,综合,普通类一段,490,650.0,650,491,11301,10811-11301
浙江,2025,综合,普通类一段,490,649.0,649,483,11784,11302-11784
浙江,2025,综合,普通类一段,490,648.0,648,524,12308,11785-12308
浙江,2025,综合,普通类一段,490,647.0,647,544,12852,12309-12852
浙江,2025,综合,普通类一段,490,646.0,646,554,13406,12853-13406
浙江,2025,综合,普通类一段,490,645.0,645,535,13941,13407-13941
浙江,2025,综合,普通类一段,490,644.0,644,548,14489,13942-14489
浙江,2025,综合,普通类一段,490,643.0,643,546,15035,14490-15035
浙江,2025,综合,普通类一段,490,642.0,642,591,15626,15036-15626
浙江,2025,综合,普通类一段,490,641.0,641,566,16192,15627-16192
浙江,2025,综合,普通类一段,490,640.0,640,625,16817,16193-16817
浙江,2025,综合,普通类一段,490,639.0,639,616,17433,16818-17433
浙江,2025,综合,普通类一段,490,638.0,638,701,18134,17434-18134
浙江,2025,综合,普通类一段,490,637.0,637,681,18815,18135-18815
浙江,2025,综合,普通类一段,490,636.0,636,633,19448,18816-19448
浙江,2025,综合,普通类一段,490,635.0,635,666,20114,19449-20114
浙江,2025,综合,普通类一段,490,634.0,634,776,20890,20115-20890
浙江,2025,综合,普通类一段,490,633.0,633,761,21651,20891-21651
浙江,2025,综合,普通类一段,490,632.0,632,714,22365,21652-22365
浙江,2025,综合,普通类一段,490,631.0,631,762,23127,22366-23127
浙江,2025,综合,普通类一段,490,630.0,630,709,23836,23128-23836
浙江,2025,综合,普通类一段,490,629.0,629,764,24600,23837-24600
浙江,2025,综合,普通类一段,490,628.0,628,765,25365,24601-25365
浙江,2025,综合,普通类一段,490,627.0,627,799,26164,25366-26164
浙江,2025,综合,普通类一段,490,626.0,626,841,27005,26165-27005
浙江,2025,综合,普通类一段,490,625.0,625,793,27798,27006-27798
浙江,2025,综合,普通类一段,490,624.0,624,808,28606,27799-28606
浙江,2025,综合,普通类一段,490,623.0,623,874,29480,28607-29480
浙江,2025,综合,普通类一段,490,622.0,622,901,30381,29481-30381
浙江,2025,综合,普通类一段,490,621.0,621,840,31221,30382-31221
浙江,2025,综合,普通类一段,490,620.0,620,893,32114,31222-32114
浙江,2025,综合,普通类一段,490,619.0,619,921,33035,32115-33035
浙江,2025,综合,普通类一段,490,618.0,618,891,33926,33036-33926
浙江,2025,综合,普通类一段,490,617.0,617,950,34876,33927-34876
浙江,2025,综合,普通类一段,490,616.0,616,994,35870,34877-35870
浙江,2025,综合,普通类一段,490,615.0,615,965,36835,35871-36835
浙江,2025,综合,普通类一段,490,614.0,614,950,37785,36836-37785
浙江,2025,综合,普通类一段,490,613.0,613,1026,38811,37786-38811
浙江,2025,综合,普通类一段,490,612.0,612,1000,39811,38812-39811
浙江,2025,综合,普通类一段,490,611.0,611,1008,40819,39812-40819
浙江,2025,综合,普通类一段,490,610.0,610,1023,41842,40820-41842
浙江,2025,综合,普通类一段,490,609.0,609,1007,42849,41843-42849
浙江,2025,综合,普通类一段,490,608.0,608,1093,43942,42850-43942
浙江,2025,综合,普通类一段,490,607.0,607,1059,45001,43943-45001
浙江,2025,综合,普通类一段,490,606.0,606,1040,46041,45002-46041
浙江,2025,综合,普通类一段,490,605.0,605,1010,47051,46042-47051
浙江,2025,综合,普通类一段,490,604.0,604,1053,48104,47052-48104
浙江,2025,综合,普通类一段,490,603.0,603,1093,49197,48105-49197
浙江,2025,综合,普通类一段,490,602.0,602,1098,50295,49198-50295
浙江,2025,综合,普通类一段,490,601.0,601,1111,51406,50296-51406
浙江,2025,综合,普通类一段,490,600.0,600,1123,52529,51407-52529
浙江,2025,综合,普通类一段,490,599.0,599,1083,53612,52530-53612
浙江,2025,综合,普通类一段,490,598.0,598,1114,54726,53613-54726
浙江,2025,综合,普通类一段,490,597.0,597,1114,55840,54727-55840
浙江,2025,综合,普通类一段,490,596.0,596,1179,57019,55841-57019
浙江,2025,综合,普通类一段,490,595.0,595,1124,58143,57020-58143
浙江,2025,综合,普通类一段,490,594.0,594,1130,59273,58144-59273
浙江,2025,综合,普通类一段,490,593.0,593,1140,60413,59274-60413
浙江,2025,综合,普通类一段,490,592.0,592,1206,61619,60414-61619
浙江,2025,综合,普通类一段,490,591.0,591,1184,62803,61620-62803
浙江,2025,综合,普通类一段,490,590.0,590,1153,63956,62804-63956
浙江,2025,综合,普通类一段,490,589.0,589,1182,65138,63957-65138
浙江,2025,综合,普通类一段,490,588.0,588,1207,66345,65139-66345
浙江,2025,综合,普通类一段,490,587.0,587,1231,67576,66346-67576
浙江,2025,综合,普通类一段,490,586.0,586,1214,68790,67577-68790
浙江,2025,综合,普通类一段,490,585.0,585,1235,70025,68791-70025
浙江,2025,综合,普通类一段,490,584.0,584,1242,71267,70026-71267
浙江,2025,综合,普通类一段,490,583.0,583,1173,72440,71268-72440
浙江,2025,综合,普通类一段,490,582.0,582,1205,73645,72441-73645
浙江,2025,综合,普通类一段,490,581.0,581,1189,74834,73646-74834
浙江,2025,综合,普通类一段,490,580.0,580,1250,76084,74835-76084
浙江,2025,综合,普通类一段,490,579.0,579,1243,77327,76085-77327
浙江,2025,综合,普通类一段,490,578.0,578,1204,78531,77328-78531
浙江,2025,综合,普通类一段,490,577.0,577,1272,79803,78532-79803
浙江,2025,综合,普通类一段,490,576.0,576,1186,80989,79804-80989
浙江,2025,综合,普通类一段,490,575.0,575,1203,82192,80990-82192
浙江,2025,综合,普通类一段,490,574.0,574,1193,83385,82193-83385
浙江,2025,综合,普通类一段,490,573.0,573,1223,84608,83386-84608
浙江,2025,综合,普通类一段,490,572.0,572,1184,85792,84609-85792
浙江,2025,综合,普通类一段,490,571.0,571,1214,87006,85793-87006
浙江,2025,综合,普通类一段,490,570.0,570,1219,88225,87007-88225
浙江,2025,综合,普通类一段,490,569.0,569,1218,89443,88226-89443
浙江,2025,综合,普通类一段,490,568.0,568,1188,90631,89444-90631
浙江,2025,综合,普通类一段,490,567.0,567,1237,91868,90632-91868
浙江,2025,综合,普通类一段,490,566.0,566,1161,93029,91869-93029
浙江,2025,综合,普通类一段,490,565.0,565,1270,94299,93030-94299
浙江,2025,综合,普通类一段,490,564.0,564,1230,95529,94300-95529
浙江,2025,综合,普通类一段,490,563.0,563,1240,96769,95530-96769
